image_name,object_class,vehicle_lat,vehicle_lon,vehicle_heading_deg,target_range_m,target_azimuth_deg,target_lat,target_lon,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,split
00077.xml,human body,18.922,72.837586,90,15.06,-9.67,18.922023,72.837727,378,414,426,481,UATD Training
00078.xml,human body,18.922,72.837624,90,15.91,-7.65,18.922019,72.837773,400,441,450,512,UATD Training
00079.xml,human body,18.922,72.837662,90,15.41,-8.09,18.92202,72.837807,398,423,442,496,UATD Training
00080.xml,human body,18.922,72.8377,90,15.18,-10.81,18.922026,72.837841,360,418,418,485,UATD Training
00081.xml,human body,18.922,72.837738,90,15.63,-7.73,18.922019,72.837885,400,432,448,502,UATD Training
00082.xml,human body,18.922,72.837776,90,15.26,-8.09,18.922019,72.837919,388,420,452,489,UATD Training
00083.xml,human body,18.922,72.837814,90,15.51,-9.84,18.922024,72.837959,376,432,424,494,UATD Training
00084.xml,human body,18.922,72.837852,90,15.67,-9.4,18.922023,72.837998,382,436,428,501,UATD Training
00085.xml,human body,18.922,72.83789,90,15.79,-8.7,18.922022,72.838038,390,439,436,506,UATD Training
00086.xml,human body,18.922,72.837928,90,15.51,-8.61,18.922021,72.838073,394,432,434,494,UATD Training
00087.xml,human body,18.922,72.837966,90,15.26,-9.93,18.922024,72.838108,374,423,424,486,UATD Training
00088.xml,human body,18.922,72.838004,90,15.47,-10.02,18.922024,72.838148,374,431,422,492,UATD Training
00089.xml,human body,18.922,72.838042,90,15.48,-10.02,18.922024,72.838186,370,426,426,498,UATD Training
00090.xml,human body,18.922,72.83808,90,15.53,-8.61,18.922021,72.838225,390,429,438,498,UATD Training
00091.xml,human body,18.922,72.838117,90,15.38,-9.32,18.922022,72.838262,384,424,428,493,UATD Training
00092.xml,human body,18.922,72.838155,90,15.31,-10.2,18.922024,72.838298,366,424,426,488,UATD Training
00093.xml,human body,18.922,72.838193,90,15.31,-8.96,18.922022,72.838337,376,418,444,494,UATD Training
00094.xml,human body,18.922,72.838231,90,15.38,-7.29,18.922018,72.838376,410,419,448,498,UATD Training
00095.xml,human body,18.922,72.838269,90,15.21,-7.65,18.922018,72.838412,402,415,448,490,UATD Training
00096.xml,human body,18.922,72.838307,90,15.07,-8.7,18.922021,72.838449,376,411,450,485,UATD Training
00097.xml,human body,18.922,72.838345,90,15.07,-9.05,18.922021,72.838487,376,411,442,485,UATD Training
00098.xml,human body,18.922,72.838383,90,15.35,-8.79,18.922021,72.838527,376,422,448,493,UATD Training
00099.xml,human body,18.922,72.838421,90,15.72,-8.26,18.92202,72.838569,386,436,450,504,UATD Training
00100.xml,human body,18.922,72.838459,90,15.41,-6.5,18.922016,72.838605,412,418,464,501,UATD Training
